1####Halifax General Hospital####Hospital####1796 Summer St, Halifax, NS####@@@@
2####Halifax West Health Clinic####Clinic####7071 Bayers Rd, Halifax, NS####@@@@
3####Dalhousie Medical Centre####Hospital####6299 South St, Halifax, NS####@@@@
4####Bedford Community Health Centre####Clinic####230 Gary Martin Dr, Bedford, NS####@@@@
5####Dartmouth Waterfront Health Centre####Clinic####40 Alderney Dr, Dartmouth, NS####@@@@
6####Cape Breton Regional Hospital####Hospital####1482 George St, Sydney, NS####@@@@
7####Truro Regional Hospital####Hospital####207 Willow St, Truro, NS####@@@@
8####New Glasgow Health Clinic####Clinic####794 E River Rd, New Glasgow, NS####@@@@
9####Halifax Heart Institute####Hospital####5980 University Ave, Halifax, NS####@@@@
10####Dartmouth Surgical Centre####Clinic####144 Portland St, Dartmouth, NS####@@@@
11####Facility_11####Clinic####216 Pine St, City Z####@@@@
475####Facility_475####Clinic####347 Maple St, City Q####@@@@
476####Facility_476####Hospital####556 Birch St, City Z####@@@@
477####Facility_477####Clinic####314 Pine St, City L####@@@@
478####Facility_478####Hospital####104 Birch St, City Z####@@@@
479####Facility_479####Clinic####520 Birch St, City X####@@@@
480####Facility_480####Hospital####613 Oak St, City G####@@@@
481####Facility_481####Clinic####466 Maple St, City W####@@@@
482####Facility_482####Hospital####504 Birch St, City A####@@@@
483####Facility_483####Clinic####935 Pine St, City T####@@@@
484####Facility_484####Hospital####653 Oak St, City D####@@@@
485####Facility_485####Clinic####255 Pine St, City K####@@@@
486####Facility_486####Hospital####998 Cedar St, City G####@@@@
487####Facility_487####Clinic####739 Elm St, City N####@@@@
488####Facility_488####Hospital####877 Cedar St, City Y####@@@@
489####Facility_489####Clinic####275 Oak St, City D####@@@@
490####Facility_490####Hospital####629 Maple St, City M####@@@@
491####Facility_491####Clinic####348 Oak St, City Y####@@@@
492####Facility_492####Hospital####771 Pine St, City K####@@@@
493####Facility_493####Clinic####91 Oak St, City R####@@@@
494####Facility_494####Hospital####610 Birch St, City X####@@@@
495####Facility_495####Clinic####578 Birch St, City N####@@@@
496####Facility_496####Hospital####177 Oak St, City V####@@@@
497####Facility_497####Clinic####948 Maple St, City H####@@@@
498####Facility_498####Hospital####145 Maple St, City S####@@@@
499####Facility_499####Clinic####242 Birch St, City R####@@@@
500####Facility_500####Hospital####611 Maple St, City Z####@@@@
501####Facility_501####Clinic####10 Birch St, City S####@@@@
502####Facility_502####Hospital####289 Elm St, City Y####@@@@
503####Facility_503####Clinic####812 Birch St, City I####@@@@
504####Facility_504####Hospital####179 Oak St, City G####@@@@
505####Facility_505####Clinic####718 Cedar St, City P####@@@@
506####Facility_506####Hospital####248 Cedar St, City S####@@@@
507####Facility_507####Clinic####176 Elm St, City F####@@@@
508####Facility_508####Hospital####948 Oak St, City B####@@@@
509####Facility_509####Clinic####111 Cedar St, City K####@@@@
510####Facility_510####Hospital####876 Maple St, City K####@@@@
511####Facility_511####Clinic####551 Birch St, City S####@@@@
512####Facility_512####Hospital####404 Maple St, City E####@@@@
513####Facility_513####Clinic####734 Oak St, City A####@@@@
514####Facility_514####Hospital####720 Maple St, City D####@@@@
515####Facility_515####Clinic####747 Elm St, City I####@@@@
516####Facility_516####Hospital####452 Maple St, City K####@@@@
517####Facility_517####Clinic####193 Elm St, City U####@@@@
518####Facility_518####Hospital####745 Birch St, City X####@@@@
519####Facility_519####Clinic####618 Oak St, City P####@@@@
520####Facility_520####Hospital####930 Oak St, City Y####@@@@
521####Facility_521####Clinic####664 Oak St, City K####@@@@
522####Facility_522####Hospital####637 Elm St, City Z####@@@@
523####Facility_523####Clinic####143 Cedar St, City Y####@@@@
524####Facility_524####Hospital####475 Cedar St, City L####@@@@
525####Facility_525####Clinic####561 Cedar St, City W####@@@@
526####Facility_526####Hospital####538 Cedar St, City B####@@@@
527####Facility_527####Clinic####745 Pine St, City C####@@@@
528####Facility_528####Hospital####591 Oak St, City F####@@@@
529####Facility_529####Clinic####519 Pine St, City K####@@@@
530####Facility_530####Hospital####10 Pine St, City E####@@@@
531####Facility_531####Clinic####569 Oak St, City Y####@@@@
532####Facility_532####Hospital####478 Cedar St, City Y####@@@@
533####Facility_533####Clinic####953 Oak St, City N####@@@@
534####Facility_534####Hospital####717 Elm St, City H####@@@@
535####Facility_535####Clinic####514 Oak St, City A####@@@@
536####Facility_536####Hospital####360 Oak St, City C####@@@@
537####Facility_537####Clinic####378 Cedar St, City M####@@@@
538####Facility_538####Hospital####140 Oak St, City P####@@@@
539####Facility_539####Clinic####142 Birch St, City H####@@@@
540####Facility_540####Hospital####904 Pine St, City K####@@@@
541####Facility_541####Clinic####532 Maple St, City R####@@@@
542####Facility_542####Hospital####482 Maple St, City L####@@@@
543####Facility_543####Clinic####959 Oak St, City S####@@@@
544####Facility_544####Hospital####771 Maple St, City K####@@@@
545####Facility_545####Clinic####660 Cedar St, City Q####@@@@
546####Facility_546####Hospital####676 Birch St, City L####@@@@
547####Facility_547####Clinic####614 Cedar St, City E####@@@@
548####Facility_548####Hospital####217 Elm St, City K####@@@@
549####Facility_549####Clinic####626 Cedar St, City B####@@@@
550####Facility_550####Hospital####296 Maple St, City J####@@@@
551####Facility_551####Clinic####656 Oak St, City I####@@@@
552####Facility_552####Hospital####794 Birch St, City I####@@@@
553####Facility_553####Clinic####188 Elm St, City Z####@@@@
554####Facility_554####Hospital####693 Oak St, City L####@@@@
555####Facility_555####Clinic####892 Maple St, City A####@@@@
556####Facility_556####Hospital####76 Maple St, City F####@@@@
557####Facility_557####Clinic####911 Maple St, City M####@@@@
558####Facility_558####Hospital####214 Birch St, City B####@@@@
559####Facility_559####Clinic####552 Cedar St, City L####@@@@
560####Facility_560####Hospital####163 Elm St, City B####@@@@
561####Facility_561####Clinic####206 Elm St, City Q####@@@@
562####Facility_562####Hospital####440 Elm St, City C####@@@@
563####Facility_563####Clinic####354 Oak St, City V####@@@@
564####Facility_564####Hospital####244 Birch St, City Y####@@@@
565####Facility_565####Clinic####101 Birch St, City B####@@@@
566####Facility_566####Hospital####960 Birch St, City B####@@@@
567####Facility_567####Clinic####367 Pine St, City D####@@@@
568####Facility_568####Hospital####447 Oak St, City R####@@@@
569####Facility_569####Clinic####169 Birch St, City M####@@@@
570####Facility_570####Hospital####767 Pine St, City J####@@@@
571####Facility_571####Clinic####184 Cedar St, City R####@@@@
572####Facility_572####Hospital####707 Cedar St, City S####@@@@
573####Facility_573####Clinic####385 Birch St, City R####@@@@
574####Facility_574####Hospital####35 Maple St, City N####@@@@
575####Facility_575####Clinic####500 Oak St, City C####@@@@
576####Facility_576####Hospital####571 Oak St, City N####@@@@
577####Facility_577####Clinic####95 Elm St, City I####@@@@
578####Facility_578####Hospital####671 Elm St, City L####@@@@
579####Facility_579####Clinic####71 Maple St, City L####@@@@
580####Facility_580####Hospital####988 Maple St, City H####@@@@
581####Facility_581####Clinic####276 Oak St, City D####@@@@
582####Facility_582####Hospital####859 Cedar St, City E####@@@@
583####Facility_583####Clinic####587 Maple St, City V####@@@@
584####Facility_584####Hospital####791 Pine St, City X####@@@@
585####Facility_585####Clinic####784 Cedar St, City Z####@@@@
586####Facility_586####Hospital####118 Oak St, City E####@@@@
587####Facility_587####Clinic####213 Oak St, City P####@@@@
588####Facility_588####Hospital####578 Pine St, City V####@@@@
589####Facility_589####Clinic####481 Pine St, City R####@@@@
590####Facility_590####Hospital####940 Pine St, City J####@@@@
591####Facility_591####Clinic####13 Maple St, City D####@@@@
592####Facility_592####Hospital####733 Birch St, City I####@@@@
593####Facility_593####Clinic####350 Cedar St, City L####@@@@
594####Facility_594####Hospital####351 Birch St, City C####@@@@
595####Facility_595####Clinic####460 Maple St, City Z####@@@@
596####Facility_596####Hospital####469 Birch St, City Y####@@@@
597####Facility_597####Clinic####513 Maple St, City I####@@@@
598####Facility_598####Hospital####279 Pine St, City A####@@@@
599####Facility_599####Clinic####367 Pine St, City U####@@@@
600####Facility_600####Hospital####151 Maple St, City P####@@@@
601####Facility_601####Clinic####579 Maple St, City E####@@@@
602####Facility_602####Hospital####918 Birch St, City T####@@@@
603####Facility_603####Clinic####138 Maple St, City L####@@@@
604####Facility_604####Hospital####590 Maple St, City U####@@@@
605####Facility_605####Clinic####32 Oak St, City C####@@@@
606####Facility_606####Hospital####11 Elm St, City F####@@@@
607####Facility_607####Clinic####720 Oak St, City Q####@@@@
608####Facility_608####Hospital####728 Cedar St, City D####@@@@
609####Facility_609####Clinic####975 Elm St, City E####@@@@
610####Facility_610####Hospital####947 Cedar St, City U####@@@@
611####Facility_611####Clinic####744 Oak St, City A####@@@@
612####Facility_612####Hospital####531 Birch St, City B####@@@@
613####Facility_613####Clinic####130 Elm St, City N####@@@@
614####Facility_614####Hospital####628 Birch St, City J####@@@@
615####Facility_615####Clinic####982 Oak St, City L####@@@@
616####Facility_616####Hospital####943 Maple St, City I####@@@@
617####Facility_617####Clinic####690 Maple St, City U####@@@@
618####Facility_618####Hospital####326 Cedar St, City K####@@@@
619####Facility_619####Clinic####283 Oak St, City C####@@@@
620####Facility_620####Hospital####38 Cedar St, City P####@@@@
621####Facility_621####Clinic####66 Elm St, City C####@@@@
622####Facility_622####Hospital####65 Pine St, City M####@@@@
623####Facility_623####Clinic####694 Birch St, City Y####@@@@
624####Facility_624####Hospital####51 Maple St, City L####@@@@
625####Facility_625####Clinic####923 Cedar St, City A####@@@@
626####Facility_626####Hospital####840 Pine St, City Z####@@@@
627####Facility_627####Clinic####136 Birch St, City E####@@@@
628####Facility_628####Hospital####268 Elm St, City S####@@@@
629####Facility_629####Clinic####922 Pine St, City R####@@@@
630####Facility_630####Hospital####157 Birch St, City W####@@@@
631####Facility_631####Clinic####351 Elm St, City R####@@@@
632####Facility_632####Hospital####181 Oak St, City E####@@@@
633####Facility_633####Clinic####365 Pine St, City N####@@@@
634####Facility_634####Hospital####354 Cedar St, City T####@@@@
635####Facility_635####Clinic####328 Maple St, City S####@@@@
636####Facility_636####Hospital####664 Oak St, City X####@@@@
637####Facility_637####Clinic####153 Pine St, City C####@@@@
638####Facility_638####Hospital####700 Pine St, City B####@@@@
639####Facility_639####Clinic####874 Maple St, City T####@@@@
640####Facility_640####Hospital####997 Pine St, City S####@@@@
641####Facility_641####Clinic####511 Oak St, City L####@@@@
642####Facility_642####Hospital####124 Elm St, City Y####@@@@
643####Facility_643####Clinic####28 Oak St, City M####@@@@
644####Facility_644####Hospital####275 Birch St, City J####@@@@
645####Facility_645####Clinic####701 Maple St, City C####@@@@
646####Facility_646####Hospital####857 Cedar St, City G####@@@@
647####Facility_647####Clinic####73 Pine St, City S####@@@@
648####Facility_648####Hospital####499 Cedar St, City V####@@@@
649####Facility_649####Clinic####664 Pine St, City P####@@@@
650####Facility_650####Hospital####238 Cedar St, City Q####@@@@
651####Facility_651####Clinic####928 Elm St, City D####@@@@
652####Facility_652####Hospital####288 Maple St, City O####@@@@
653####Facility_653####Clinic####25 Oak St, City Y####@@@@
654####Facility_654####Hospital####873 Oak St, City Y####@@@@
655####Facility_655####Clinic####746 Elm St, City G####@@@@
656####Facility_656####Hospital####698 Birch St, City W####@@@@
657####Facility_657####Clinic####508 Cedar St, City V####@@@@
658####Facility_658####Hospital####275 Pine St, City P####@@@@
659####Facility_659####Clinic####855 Pine St, City E####@@@@
660####Facility_660####Hospital####658 Maple St, City T####@@@@
661####Facility_661####Clinic####541 Maple St, City R####@@@@
662####Facility_662####Hospital####13 Oak St, City X####@@@@
663####Facility_663####Clinic####776 Oak St, City V####@@@@
664####Facility_664####Hospital####302 Birch St, City Z####@@@@
665####Facility_665####Clinic####75 Birch St, City K####@@@@
666####Facility_666####Hospital####214 Pine St, City N####@@@@
667####Facility_667####Clinic####352 Maple St, City C####@@@@
668####Facility_668####Hospital####94 Birch St, City O####@@@@
669####Facility_669####Clinic####453 Pine St, City N####@@@@
670####Facility_670####Hospital####902 Pine St, City D####@@@@
671####Facility_671####Clinic####215 Cedar St, City I####@@@@
672####Facility_672####Hospital####516 Birch St, City G####@@@@
673####Facility_673####Clinic####905 Elm St, City S####@@@@
674####Facility_674####Hospital####234 Oak St, City W####@@@@
675####Facility_675####Clinic####573 Elm St, City C####@@@@
676####Facility_676####Hospital####638 Oak St, City S####@@@@
677####Facility_677####Clinic####873 Oak St, City Q####@@@@
678####Facility_678####Hospital####641 Birch St, City M####@@@@
679####Facility_679####Clinic####723 Elm St, City E####@@@@
680####Facility_680####Hospital####233 Cedar St, City J####@@@@
681####Facility_681####Clinic####990 Elm St, City K####@@@@
682####Facility_682####Hospital####657 Birch St, City U####@@@@
683####Facility_683####Clinic####772 Oak St, City D####@@@@
684####Facility_684####Hospital####17 Oak St, City P####@@@@
685####Facility_685####Clinic####90 Birch St, City X####@@@@
686####Facility_686####Hospital####728 Elm St, City I####@@@@
687####Facility_687####Clinic####138 Elm St, City H####@@@@
688####Facility_688####Hospital####803 Maple St, City B####@@@@
689####Facility_689####Clinic####394 Oak St, City I####@@@@
690####Facility_690####Hospital####754 Cedar St, City Y####@@@@
691####Facility_691####Clinic####854 Pine St, City O####@@@@
692####Facility_692####Hospital####58 Elm St, City R####@@@@
693####Facility_693####Clinic####111 Birch St, City Z####@@@@
694####Facility_694####Hospital####603 Pine St, City Y####@@@@
695####Facility_695####Clinic####713 Elm St, City E####@@@@
696####Facility_696####Hospital####580 Oak St, City R####@@@@
697####Facility_697####Clinic####130 Maple St, City J####@@@@
698####Facility_698####Hospital####307 Elm St, City Y####@@@@
699####Facility_699####Clinic####303 Pine St, City K####@@@@
700####Facility_700####Hospital####968 Elm St, City T####@@@@
701####Facility_701####Clinic####462 Birch St, City L####@@@@
702####Facility_702####Hospital####35 Oak St, City D####@@@@
703####Facility_703####Clinic####405 Maple St, City K####@@@@
704####Facility_704####Hospital####642 Elm St, City D####@@@@
705####Facility_705####Clinic####141 Pine St, City P####@@@@
706####Facility_706####Hospital####428 Elm St, City O####@@@@
707####Facility_707####Clinic####309 Oak St, City R####@@@@
708####Facility_708####Hospital####329 Pine St, City A####@@@@
709####Facility_709####Clinic####206 Birch St, City F####@@@@
710####Facility_710####Hospital####37 Birch St, City F####@@@@
711####Facility_711####Clinic####257 Maple St, City K####@@@@
712####Facility_712####Hospital####116 Pine St, City N####@@@@
713####Facility_713####Clinic####407 Maple St, City H####@@@@
714####Facility_714####Hospital####520 Maple St, City X####@@@@
715####Facility_715####Clinic####910 Birch St, City W####@@@@
716####Facility_716####Hospital####814 Birch St, City G####@@@@
717####Facility_717####Clinic####405 Birch St, City D####@@@@
718####Facility_718####Hospital####279 Maple St, City V####@@@@
719####Facility_719####Clinic####676 Pine St, City F####@@@@
720####Facility_720####Hospital####336 Maple St, City K####@@@@
721####Facility_721####Clinic####665 Maple St, City K####@@@@
722####Facility_722####Hospital####503 Maple St, City R####@@@@
723####Facility_723####Clinic####87 Elm St, City M####@@@@
724####Facility_724####Hospital####405 Cedar St, City E####@@@@
725####Facility_725####Clinic####489 Birch St, City R####@@@@
726####Facility_726####Hospital####221 Maple St, City Z####@@@@
727####Facility_727####Clinic####405 Oak St, City O####@@@@
728####Facility_728####Hospital####363 Elm St, City L####@@@@
729####Facility_729####Clinic####535 Oak St, City U####@@@@
730####Facility_730####Hospital####657 Cedar St, City R####@@@@
731####Facility_731####Clinic####757 Maple St, City R####@@@@
732####Facility_732####Hospital####746 Maple St, City P####@@@@
733####Facility_733####Clinic####807 Cedar St, City Y####@@@@
734####Facility_734####Hospital####949 Pine St, City S####@@@@
735####Facility_735####Clinic####813 Birch St, City G####@@@@
736####Facility_736####Hospital####855 Oak St, City A####@@@@
737####Facility_737####Clinic####213 Pine St, City N####@@@@
738####Facility_738####Hospital####859 Oak St, City Z####@@@@
739####Facility_739####Clinic####296 Cedar St, City A####@@@@
740####Facility_740####Hospital####378 Cedar St, City E####@@@@
741####Facility_741####Clinic####98 Cedar St, City L####@@@@
742####Facility_742####Hospital####838 Maple St, City X####@@@@
743####Facility_743####Clinic####700 Maple St, City F####@@@@
744####Facility_744####Hospital####72 Cedar St, City J####@@@@
745####Facility_745####Clinic####870 Oak St, City S####@@@@
746####Facility_746####Hospital####445 Oak St, City Q####@@@@
747####Facility_747####Clinic####683 Cedar St, City G####@@@@
748####Facility_748####Hospital####902 Pine St, City B####@@@@
749####Facility_749####Clinic####109 Cedar St, City L####@@@@
750####Facility_750####Hospital####225 Oak St, City F####@@@@
751####Facility_751####Clinic####354 Maple St, City O####@@@@
752####Facility_752####Hospital####970 Elm St, City C####@@@@
753####Facility_753####Clinic####203 Elm St, City A####@@@@
754####Facility_754####Hospital####662 Oak St, City H####@@@@
755####Facility_755####Clinic####495 Cedar St, City X####@@@@
756####Facility_756####Hospital####51 Birch St, City K####@@@@
757####Facility_757####Clinic####383 Oak St, City W####@@@@
758####Facility_758####Hospital####968 Cedar St, City Q####@@@@
759####Facility_759####Clinic####463 Maple St, City B####@@@@
760####Facility_760####Hospital####993 Birch St, City P####@@@@
761####Facility_761####Clinic####27 Oak St, City H####@@@@
762####Facility_762####Hospital####969 Oak St, City Q####@@@@
763####Facility_763####Clinic####594 Pine St, City W####@@@@
764####Facility_764####Hospital####236 Elm St, City R####@@@@
765####Facility_765####Clinic####785 Pine St, City C####@@@@
766####Facility_766####Hospital####294 Pine St, City J####@@@@
767####Facility_767####Clinic####204 Elm St, City N####@@@@
768####Facility_768####Hospital####394 Elm St, City T####@@@@
769####Facility_769####Clinic####412 Birch St, City R####@@@@
770####Facility_770####Hospital####630 Elm St, City Y####@@@@
771####Facility_771####Clinic####1 Elm St, City P####@@@@
772####Facility_772####Hospital####318 Cedar St, City Z####@@@@
773####Facility_773####Clinic####222 Maple St, City X####@@@@
774####Facility_774####Hospital####863 Pine St, City D####@@@@
775####Facility_775####Clinic####700 Birch St, City V####@@@@
776####Facility_776####Hospital####392 Birch St, City V####@@@@
777####Facility_777####Clinic####260 Birch St, City S####@@@@
778####Facility_778####Hospital####500 Maple St, City V####@@@@
779####Facility_779####Clinic####561 Elm St, City W####@@@@
780####Facility_780####Hospital####877 Oak St, City U####@@@@
781####Facility_781####Clinic####147 Birch St, City Y####@@@@
782####Facility_782####Hospital####108 Elm St, City E####@@@@
783####Facility_783####Clinic####704 Pine St, City Z####@@@@
784####Facility_784####Hospital####166 Birch St, City X####@@@@
785####Facility_785####Clinic####3 Oak St, City B####@@@@
786####Facility_786####Hospital####312 Birch St, City D####@@@@
787####Facility_787####Clinic####69 Oak St, City J####@@@@
788####Facility_788####Hospital####124 Birch St, City S####@@@@
789####Facility_789####Clinic####93 Oak St, City V####@@@@
790####Facility_790####Hospital####967 Oak St, City H####@@@@
791####Facility_791####Clinic####933 Elm St, City I####@@@@
792####Facility_792####Hospital####342 Cedar St, City R####@@@@
793####Facility_793####Clinic####889 Elm St, City L####@@@@
794####Facility_794####Hospital####503 Maple St, City Q####@@@@
795####Facility_795####Clinic####868 Cedar St, City A####@@@@
796####Facility_796####Hospital####409 Pine St, City K####@@@@
797####Facility_797####Clinic####369 Pine St, City D####@@@@
798####Facility_798####Hospital####650 Maple St, City V####@@@@
799####Facility_799####Clinic####56 Oak St, City T####@@@@
800####Facility_800####Hospital####809 Pine St, City Q####@@@@
801####Facility_801####Clinic####891 Birch St, City C####@@@@
802####Facility_802####Hospital####334 Cedar St, City J####@@@@
803####Facility_803####Clinic####394 Maple St, City F####@@@@
804####Facility_804####Hospital####256 Oak St, City P####@@@@
805####Facility_805####Clinic####480 Birch St, City B####@@@@
806####Facility_806####Hospital####466 Elm St, City E####@@@@
807####Facility_807####Clinic####852 Maple St, City E####@@@@
808####Facility_808####Hospital####730 Birch St, City I####@@@@
809####Facility_809####Clinic####182 Cedar St, City R####@@@@
810####Facility_810####Hospital####236 Oak St, City A####@@@@
811####Facility_811####Clinic####926 Maple St, City T####@@@@
812####Facility_812####Hospital####794 Cedar St, City C####@@@@
813####Facility_813####Clinic####560 Pine St, City M####@@@@
814####Facility_814####Hospital####446 Elm St, City P####@@@@
815####Facility_815####Clinic####930 Maple St, City N####@@@@
816####Facility_816####Hospital####806 Pine St, City H####@@@@
817####Facility_817####Clinic####442 Pine St, City O####@@@@
818####Facility_818####Hospital####35 Pine St, City S####@@@@
819####Facility_819####Clinic####555 Cedar St, City X####@@@@
820####Facility_820####Hospital####50 Elm St, City Q####@@@@
821####Facility_821####Clinic####26 Pine St, City F####@@@@
822####Facility_822####Hospital####57 Elm St, City R####@@@@
823####Facility_823####Clinic####299 Cedar St, City R####@@@@
824####Facility_824####Hospital####501 Birch St, City Z####@@@@
825####Facility_825####Clinic####34 Oak St, City U####@@@@
826####Facility_826####Hospital####516 Oak St, City W####@@@@
827####Facility_827####Clinic####633 Cedar St, City W####@@@@
828####Facility_828####Hospital####723 Oak St, City Z####@@@@
829####Facility_829####Clinic####479 Elm St, City I####@@@@
830####Facility_830####Hospital####634 Maple St, City U####@@@@
831####Facility_831####Clinic####567 Birch St, City N####@@@@
832####Facility_832####Hospital####611 Maple St, City T####@@@@
833####Facility_833####Clinic####120 Cedar St, City D####@@@@
834####Facility_834####Hospital####252 Elm St, City P####@@@@
835####Facility_835####Clinic####833 Maple St, City K####@@@@
836####Facility_836####Hospital####587 Cedar St, City C####@@@@
837####Facility_837####Clinic####306 Cedar St, City X####@@@@
838####Facility_838####Hospital####89 Pine St, City T####@@@@
839####Facility_839####Clinic####610 Birch St, City M####@@@@
840####Facility_840####Hospital####784 Pine St, City F####@@@@
841####Facility_841####Clinic####140 Pine St, City N####@@@@
842####Facility_842####Hospital####156 Pine St, City G####@@@@
843####Facility_843####Clinic####528 Pine St, City C####@@@@
844####Facility_844####Hospital####344 Birch St, City F####@@@@
845####Facility_845####Clinic####365 Oak St, City R####@@@@
846####Facility_846####Hospital####973 Cedar St, City Z####@@@@
847####Facility_847####Clinic####501 Birch St, City Z####@@@@
848####Facility_848####Hospital####390 Oak St, City V####@@@@
849####Facility_849####Clinic####846 Oak St, City O####@@@@
850####Facility_850####Hospital####531 Oak St, City Q####@@@@
851####Facility_851####Clinic####948 Birch St, City D####@@@@
852####Facility_852####Hospital####369 Maple St, City A####@@@@
853####Facility_853####Clinic####529 Birch St, City L####@@@@
854####Facility_854####Hospital####809 Maple St, City O####@@@@
855####Facility_855####Clinic####878 Birch St, City N####@@@@
856####Facility_856####Hospital####285 Pine St, City G####@@@@
857####Facility_857####Clinic####6 Oak St, City T####@@@@
858####Facility_858####Hospital####372 Birch St, City I####@@@@
859####Facility_859####Clinic####928 Pine St, City A####@@@@
860####Facility_860####Hospital####547 Maple St, City K####@@@@
861####Facility_861####Clinic####815 Elm St, City E####@@@@
862####Facility_862####Hospital####903 Cedar St, City D####@@@@
863####Facility_863####Clinic####25 Elm St, City R####@@@@
864####Facility_864####Hospital####677 Cedar St, City F####@@@@
865####Facility_865####Clinic####422 Cedar St, City D####@@@@
866####Facility_866####Hospital####826 Pine St, City D####@@@@
867####Facility_867####Clinic####282 Birch St, City J####@@@@
868####Facility_868####Hospital####934 Birch St, City Y####@@@@
869####Facility_869####Clinic####160 Pine St, City A####@@@@
870####Facility_870####Hospital####638 Elm St, City L####@@@@
871####Facility_871####Clinic####813 Maple St, City F####@@@@
872####Facility_872####Hospital####236 Pine St, City Q####@@@@
873####Facility_873####Clinic####566 Elm St, City K####@@@@
874####Facility_874####Hospital####579 Maple St, City P####@@@@
875####Facility_875####Clinic####189 Oak St, City Q####@@@@
876####Facility_876####Hospital####943 Maple St, City I####@@@@
877####Facility_877####Clinic####551 Birch St, City G####@@@@
878####Facility_878####Hospital####927 Elm St, City F####@@@@
879####Facility_879####Clinic####520 Birch St, City H####@@@@
880####Facility_880####Hospital####415 Maple St, City K####@@@@
881####Facility_881####Clinic####129 Oak St, City N####@@@@
882####Facility_882####Hospital####321 Birch St, City U####@@@@
883####Facility_883####Clinic####689 Oak St, City N####@@@@
884####Facility_884####Hospital####264 Pine St, City B####@@@@
885####Facility_885####Clinic####117 Cedar St, City D####@@@@
886####Facility_886####Hospital####633 Elm St, City H####@@@@
887####Facility_887####Clinic####81 Birch St, City X####@@@@
888####Facility_888####Hospital####625 Elm St, City O####@@@@
889####Facility_889####Clinic####403 Elm St, City K####@@@@
890####Facility_890####Hospital####931 Pine St, City L####@@@@
891####Facility_891####Clinic####823 Pine St, City R####@@@@
892####Facility_892####Hospital####305 Birch St, City Y####@@@@
893####Facility_893####Clinic####685 Elm St, City J####@@@@
894####Facility_894####Hospital####101 Elm St, City K####@@@@
895####Facility_895####Clinic####821 Cedar St, City H####@@@@
896####Facility_896####Hospital####978 Maple St, City M####@@@@
897####Facility_897####Clinic####860 Oak St, City N####@@@@
898####Facility_898####Hospital####164 Birch St, City X####@@@@
899####Facility_899####Clinic####56 Pine St, City J####@@@@
900####Facility_900####Hospital####589 Oak St, City R####@@@@
901####Facility_901####Clinic####31 Pine St, City E####@@@@
902####Facility_902####Hospital####870 Birch St, City J####@@@@
903####Facility_903####Clinic####704 Maple St, City Y####@@@@
904####Facility_904####Hospital####270 Birch St, City U####@@@@
905####Facility_905####Clinic####664 Cedar St, City L####@@@@
906####Facility_906####Hospital####216 Elm St, City E####@@@@
907####Facility_907####Clinic####525 Cedar St, City A####@@@@
908####Facility_908####Hospital####487 Oak St, City F####@@@@
909####Facility_909####Clinic####743 Pine St, City Z####@@@@
910####Facility_910####Hospital####676 Oak St, City W####@@@@
911####Facility_911####Clinic####232 Oak St, City Z####@@@@
912####Facility_912####Hospital####486 Cedar St, City F####@@@@
913####Facility_913####Clinic####48 Cedar St, City U####@@@@
914####Facility_914####Hospital####886 Elm St, City J####@@@@
915####Facility_915####Clinic####742 Maple St, City W####@@@@
916####Facility_916####Hospital####990 Maple St, City N####@@@@
917####Facility_917####Clinic####449 Cedar St, City N####@@@@
918####Facility_918####Hospital####696 Oak St, City M####@@@@
919####Facility_919####Clinic####21 Maple St, City K####@@@@
920####Facility_920####Hospital####375 Elm St, City I####@@@@
921####Facility_921####Clinic####980 Oak St, City U####@@@@
922####Facility_922####Hospital####45 Pine St, City F####@@@@
923####Facility_923####Clinic####973 Maple St, City T####@@@@
924####Facility_924####Hospital####507 Cedar St, City I####@@@@
925####Facility_925####Clinic####432 Cedar St, City N####@@@@
926####Facility_926####Hospital####840 Oak St, City P####@@@@
927####Facility_927####Clinic####787 Birch St, City A####@@@@
928####Facility_928####Hospital####428 Cedar St, City J####@@@@
929####Facility_929####Clinic####437 Cedar St, City N####@@@@
930####Facility_930####Hospital####150 Birch St, City N####@@@@
931####Facility_931####Clinic####570 Cedar St, City D####@@@@
932####Facility_932####Hospital####233 Oak St, City H####@@@@
933####Facility_933####Clinic####398 Maple St, City O####@@@@
934####Facility_934####Hospital####406 Oak St, City P####@@@@
935####Facility_935####Clinic####759 Cedar St, City Z####@@@@
936####Facility_936####Hospital####45 Maple St, City J####@@@@
937####Facility_937####Clinic####547 Birch St, City U####@@@@
938####Facility_938####Hospital####818 Birch St, City Q####@@@@
939####Facility_939####Clinic####780 Oak St, City A####@@@@
940####Facility_940####Hospital####50 Oak St, City A####@@@@
941####Facility_941####Clinic####250 Cedar St, City J####@@@@
942####Facility_942####Hospital####980 Birch St, City R####@@@@
943####Facility_943####Clinic####725 Birch St, City E####@@@@
944####Facility_944####Hospital####514 Oak St, City Y####@@@@
945####Facility_945####Clinic####683 Birch St, City G####@@@@
946####Facility_946####Hospital####146 Maple St, City R####@@@@
947####Facility_947####Clinic####892 Oak St, City V####@@@@
948####Facility_948####Hospital####591 Oak St, City Y####@@@@
949####Facility_949####Clinic####640 Cedar St, City B####@@@@
950####Facility_950####Hospital####245 Birch St, City T####@@@@
951####Facility_951####Clinic####665 Oak St, City U####@@@@
952####Facility_952####Hospital####355 Pine St, City H####@@@@
953####Facility_953####Clinic####705 Elm St, City X####@@@@
