1####1####Downtown Dental####Dental####456 Elm St, Halifax####@@@@
443####583####Clinic_443####Type_3####918 Birch St, City L####@@@@
444####359####Clinic_444####Type_4####984 Elm St, City X####@@@@
445####715####Clinic_445####Type_0####529 Oak St, City G####@@@@
446####225####Clinic_446####Type_1####465 Oak St, City M####@@@@
447####923####Clinic_447####Type_2####447 Elm St, City U####@@@@
448####290####Clinic_448####Type_3####567 Cedar St, City P####@@@@
449####82####Clinic_449####Type_4####10 Oak St, City T####@@@@
450####282####Clinic_450####Type_0####645 Elm St, City W####@@@@
451####366####Clinic_451####Type_1####452 Birch St, City I####@@@@
452####846####Clinic_452####Type_2####409 Birch St, City N####@@@@
453####633####Clinic_453####Type_3####806 Oak St, City I####@@@@
454####882####Clinic_454####Type_4####107 Pine St, City A####@@@@
455####268####Clinic_455####Type_0####556 Cedar St, City F####@@@@
456####679####Clinic_456####Type_1####887 Cedar St, City I####@@@@
457####626####Clinic_457####Type_2####590 Maple St, City Y####@@@@
458####318####Clinic_458####Type_3####337 Pine St, City H####@@@@
459####731####Clinic_459####Type_4####243 Cedar St, City W####@@@@
460####588####Clinic_460####Type_0####760 Birch St, City M####@@@@
461####896####Clinic_461####Type_1####531 Cedar St, City H####@@@@
462####7####Clinic_462####Type_2####371 Maple St, City O####@@@@
463####7####Clinic_463####Type_3####959 Oak St, City O####@@@@
464####632####Clinic_464####Type_4####150 Birch St, City T####@@@@
465####15####Clinic_465####Type_0####764 Maple St, City N####@@@@
466####153####Clinic_466####Type_1####17 Elm St, City F####@@@@
467####696####Clinic_467####Type_2####540 Elm St, City L####@@@@
468####67####Clinic_468####Type_3####607 Elm St, City B####@@@@
469####742####Clinic_469####Type_4####396 Elm St, City X####@@@@
470####52####Clinic_470####Type_0####193 Pine St, City W####@@@@
471####941####Clinic_471####Type_1####577 Birch St, City S####@@@@
472####133####Clinic_472####Type_2####837 Elm St, City J####@@@@
473####131####Clinic_473####Type_3####56 Birch St, City B####@@@@
474####743####Clinic_474####Type_4####433 Maple St, City O####@@@@
475####902####Clinic_475####Type_0####358 Elm St, City C####@@@@
476####665####Clinic_476####Type_1####470 Pine St, City S####@@@@
477####699####Clinic_477####Type_2####461 Oak St, City T####@@@@
478####555####Clinic_478####Type_3####301 Pine St, City C####@@@@
479####190####Clinic_479####Type_4####507 Maple St, City Q####@@@@
480####42####Clinic_480####Type_0####159 Elm St, City G####@@@@
481####522####Clinic_481####Type_1####897 Elm St, City H####@@@@
482####886####Clinic_482####Type_2####620 Pine St, City U####@@@@
483####125####Clinic_483####Type_3####760 Elm St, City F####@@@@
484####193####Clinic_484####Type_4####563 Cedar St, City B####@@@@
485####26####Clinic_485####Type_0####112 Pine St, City K####@@@@
486####237####Clinic_486####Type_1####713 Cedar St, City U####@@@@
487####925####Clinic_487####Type_2####420 Cedar St, City V####@@@@
488####407####Clinic_488####Type_3####614 Oak St, City D####@@@@
489####791####Clinic_489####Type_4####921 Birch St, City L####@@@@
490####909####Clinic_490####Type_0####191 Elm St, City O####@@@@
491####93####Clinic_491####Type_1####391 Pine St, City L####@@@@
492####59####Clinic_492####Type_2####456 Maple St, City F####@@@@
493####990####Clinic_493####Type_3####934 Birch St, City N####@@@@
494####398####Clinic_494####Type_4####960 Pine St, City W####@@@@
495####888####Clinic_495####Type_0####60 Elm St, City F####@@@@
496####441####Clinic_496####Type_1####773 Cedar St, City E####@@@@
497####985####Clinic_497####Type_2####459 Birch St, City T####@@@@
498####914####Clinic_498####Type_3####317 Cedar St, City L####@@@@
499####929####Clinic_499####Type_4####76 Pine St, City H####@@@@
500####449####Clinic_500####Type_0####365 Elm St, City E####@@@@
501####255####Clinic_501####Type_1####513 Elm St, City O####@@@@
502####620####Clinic_502####Type_2####95 Oak St, City Y####@@@@
503####575####Clinic_503####Type_3####800 Pine St, City L####@@@@
504####775####Clinic_504####Type_4####672 Cedar St, City D####@@@@
505####745####Clinic_505####Type_0####772 Pine St, City F####@@@@
506####678####Clinic_506####Type_1####319 Birch St, City O####@@@@
507####904####Clinic_507####Type_2####166 Cedar St, City F####@@@@
508####139####Clinic_508####Type_3####489 Pine St, City T####@@@@
509####762####Clinic_509####Type_4####737 Cedar St, City U####@@@@
510####841####Clinic_510####Type_0####372 Pine St, City X####@@@@
511####355####Clinic_511####Type_1####248 Maple St, City A####@@@@
512####210####Clinic_512####Type_2####522 Maple St, City J####@@@@
513####646####Clinic_513####Type_3####597 Oak St, City T####@@@@
514####22####Clinic_514####Type_4####341 Birch St, City N####@@@@
515####490####Clinic_515####Type_0####840 Pine St, City S####@@@@
516####821####Clinic_516####Type_1####119 Pine St, City K####@@@@
517####189####Clinic_517####Type_2####800 Oak St, City L####@@@@
518####975####Clinic_518####Type_3####530 Elm St, City H####@@@@
519####887####Clinic_519####Type_4####309 Elm St, City V####@@@@
520####7####Clinic_520####Type_0####850 Maple St, City Y####@@@@
521####566####Clinic_521####Type_1####354 Elm St, City C####@@@@
522####67####Clinic_522####Type_2####840 Pine St, City P####@@@@
523####751####Clinic_523####Type_3####524 Maple St, City S####@@@@
524####931####Clinic_524####Type_4####614 Elm St, City B####@@@@
525####362####Clinic_525####Type_0####882 Oak St, City E####@@@@
526####97####Clinic_526####Type_1####661 Oak St, City J####@@@@
527####453####Clinic_527####Type_2####571 Cedar St, City I####@@@@
528####683####Clinic_528####Type_3####231 Oak St, City N####@@@@
529####183####Clinic_529####Type_4####527 Cedar St, City F####@@@@
530####60####Clinic_530####Type_0####952 Pine St, City B####@@@@
531####537####Clinic_531####Type_1####880 Birch St, City N####@@@@
532####283####Clinic_532####Type_2####304 Elm St, City S####@@@@
533####974####Clinic_533####Type_3####343 Elm St, City R####@@@@
534####917####Clinic_534####Type_4####770 Pine St, City P####@@@@
535####351####Clinic_535####Type_0####242 Oak St, City R####@@@@
536####144####Clinic_536####Type_1####490 Birch St, City Y####@@@@
537####443####Clinic_537####Type_2####551 Cedar St, City N####@@@@
538####867####Clinic_538####Type_3####870 Elm St, City I####@@@@
539####150####Clinic_539####Type_4####339 Maple St, City Q####@@@@
540####486####Clinic_540####Type_0####648 Cedar St, City V####@@@@
541####230####Clinic_541####Type_1####293 Elm St, City P####@@@@
542####399####Clinic_542####Type_2####68 Pine St, City V####@@@@
543####683####Clinic_543####Type_3####450 Elm St, City E####@@@@
544####886####Clinic_544####Type_4####65 Elm St, City L####@@@@
545####596####Clinic_545####Type_0####784 Pine St, City K####@@@@
546####604####Clinic_546####Type_1####234 Oak St, City E####@@@@
547####343####Clinic_547####Type_2####708 Cedar St, City T####@@@@
548####854####Clinic_548####Type_3####64 Cedar St, City H####@@@@
549####547####Clinic_549####Type_4####625 Cedar St, City P####@@@@
550####563####Clinic_550####Type_0####305 Birch St, City D####@@@@
551####118####Clinic_551####Type_1####988 Cedar St, City L####@@@@
552####32####Clinic_552####Type_2####889 Birch St, City Q####@@@@
553####936####Clinic_553####Type_3####715 Elm St, City I####@@@@
554####679####Clinic_554####Type_4####213 Cedar St, City H####@@@@
555####758####Clinic_555####Type_0####165 Elm St, City P####@@@@
556####915####Clinic_556####Type_1####526 Elm St, City M####@@@@
557####939####Clinic_557####Type_2####441 Cedar St, City N####@@@@
558####723####Clinic_558####Type_3####360 Cedar St, City T####@@@@
559####316####Clinic_559####Type_4####134 Birch St, City T####@@@@
560####150####Clinic_560####Type_0####394 Elm St, City R####@@@@
561####864####Clinic_561####Type_1####961 Birch St, City M####@@@@
562####941####Clinic_562####Type_2####896 Pine St, City K####@@@@
563####248####Clinic_563####Type_3####761 Maple St, City N####@@@@
564####861####Clinic_564####Type_4####21 Oak St, City E####@@@@
565####797####Clinic_565####Type_0####264 Pine St, City F####@@@@
566####494####Clinic_566####Type_1####819 Pine St, City H####@@@@
567####607####Clinic_567####Type_2####731 Elm St, City B####@@@@
568####494####Clinic_568####Type_3####316 Oak St, City U####@@@@
569####808####Clinic_569####Type_4####707 Pine St, City I####@@@@
570####468####Clinic_570####Type_0####228 Elm St, City I####@@@@
571####635####Clinic_571####Type_1####912 Elm St, City Z####@@@@
572####29####Clinic_572####Type_2####717 Cedar St, City D####@@@@
573####625####Clinic_573####Type_3####328 Elm St, City W####@@@@
574####417####Clinic_574####Type_4####443 Maple St, City C####@@@@
575####224####Clinic_575####Type_0####821 Maple St, City B####@@@@
576####336####Clinic_576####Type_1####773 Maple St, City G####@@@@
577####548####Clinic_577####Type_2####442 Elm St, City M####@@@@
578####354####Clinic_578####Type_3####645 Cedar St, City W####@@@@
579####269####Clinic_579####Type_4####317 Elm St, City Z####@@@@
580####568####Clinic_580####Type_0####981 Cedar St, City E####@@@@
581####501####Clinic_581####Type_1####643 Cedar St, City L####@@@@
582####548####Clinic_582####Type_2####316 Cedar St, City L####@@@@
583####86####Clinic_583####Type_3####485 Maple St, City G####@@@@
584####584####Clinic_584####Type_4####937 Birch St, City P####@@@@
585####172####Clinic_585####Type_0####769 Cedar St, City N####@@@@
586####131####Clinic_586####Type_1####350 Birch St, City I####@@@@
587####824####Clinic_587####Type_2####519 Birch St, City U####@@@@
588####76####Clinic_588####Type_3####620 Pine St, City R####@@@@
589####614####Clinic_589####Type_4####613 Maple St, City Z####@@@@
590####622####Clinic_590####Type_0####246 Pine St, City H####@@@@
591####833####Clinic_591####Type_1####433 Oak St, City A####@@@@
592####678####Clinic_592####Type_2####527 Elm St, City M####@@@@
593####953####Clinic_593####Type_3####321 Maple St, City I####@@@@
594####710####Clinic_594####Type_4####674 Birch St, City C####@@@@
595####704####Clinic_595####Type_0####503 Cedar St, City V####@@@@
596####764####Clinic_596####Type_1####776 Elm St, City Y####@@@@
597####581####Clinic_597####Type_2####561 Cedar St, City P####@@@@
598####428####Clinic_598####Type_3####709 Birch St, City T####@@@@
599####955####Clinic_599####Type_4####109 Pine St, City Q####@@@@
600####935####Clinic_600####Type_0####658 Birch St, City V####@@@@
601####293####Clinic_601####Type_1####957 Elm St, City L####@@@@
602####359####Clinic_602####Type_2####918 Cedar St, City I####@@@@
603####425####Clinic_603####Type_3####504 Birch St, City E####@@@@
604####494####Clinic_604####Type_4####861 Elm St, City P####@@@@
605####438####Clinic_605####Type_0####393 Elm St, City I####@@@@
606####79####Clinic_606####Type_1####285 Oak St, City V####@@@@
607####733####Clinic_607####Type_2####814 Birch St, City X####@@@@
608####253####Clinic_608####Type_3####228 Birch St, City K####@@@@
609####383####Clinic_609####Type_4####105 Elm St, City P####@@@@
610####330####Clinic_610####Type_0####260 Pine St, City M####@@@@
611####304####Clinic_611####Type_1####507 Cedar St, City A####@@@@
612####303####Clinic_612####Type_2####717 Pine St, City P####@@@@
613####617####Clinic_613####Type_3####307 Birch St, City D####@@@@
614####997####Clinic_614####Type_4####189 Cedar St, City Q####@@@@
615####572####Clinic_615####Type_0####625 Cedar St, City W####@@@@
616####629####Clinic_616####Type_1####758 Oak St, City C####@@@@
617####115####Clinic_617####Type_2####323 Pine St, City F####@@@@
618####507####Clinic_618####Type_3####239 Birch St, City C####@@@@
619####352####Clinic_619####Type_4####210 Maple St, City G####@@@@
620####583####Clinic_620####Type_0####285 Oak St, City N####@@@@
621####318####Clinic_621####Type_1####994 Pine St, City J####@@@@
622####696####Clinic_622####Type_2####810 Oak St, City P####@@@@
623####362####Clinic_623####Type_3####366 Maple St, City U####@@@@
624####519####Clinic_624####Type_4####184 Pine St, City T####@@@@
625####452####Clinic_625####Type_0####628 Birch St, City G####@@@@
626####662####Clinic_626####Type_1####532 Cedar St, City S####@@@@
627####365####Clinic_627####Type_2####711 Cedar St, City H####@@@@
628####298####Clinic_628####Type_3####778 Maple St, City F####@@@@
629####167####Clinic_629####Type_4####318 Birch St, City V####@@@@
630####501####Clinic_630####Type_0####432 Pine St, City W####@@@@
631####661####Clinic_631####Type_1####550 Elm St, City I####@@@@
632####786####Clinic_632####Type_2####865 Oak St, City X####@@@@
633####565####Clinic_633####Type_3####941 Elm St, City M####@@@@
634####904####Clinic_634####Type_4####738 Cedar St, City V####@@@@
635####569####Clinic_635####Type_0####278 Cedar St, City T####@@@@
636####967####Clinic_636####Type_1####456 Maple St, City Q####@@@@
637####477####Clinic_637####Type_2####802 Oak St, City F####@@@@
638####241####Clinic_638####Type_3####518 Birch St, City S####@@@@
639####103####Clinic_639####Type_4####589 Elm St, City N####@@@@
640####173####Clinic_640####Type_0####958 Birch St, City M####@@@@
641####395####Clinic_641####Type_1####264 Oak St, City B####@@@@
642####795####Clinic_642####Type_2####346 Oak St, City O####@@@@
643####912####Clinic_643####Type_3####233 Elm St, City B####@@@@
644####720####Clinic_644####Type_4####992 Pine St, City V####@@@@
645####103####Clinic_645####Type_0####138 Cedar St, City P####@@@@
646####377####Clinic_646####Type_1####745 Oak St, City H####@@@@
647####50####Clinic_647####Type_2####368 Maple St, City R####@@@@
648####157####Clinic_648####Type_3####696 Pine St, City L####@@@@
649####77####Clinic_649####Type_4####232 Oak St, City E####@@@@
650####250####Clinic_650####Type_0####202 Maple St, City G####@@@@
651####611####Clinic_651####Type_1####103 Pine St, City C####@@@@
652####734####Clinic_652####Type_2####630 Cedar St, City X####@@@@
653####781####Clinic_653####Type_3####133 Maple St, City L####@@@@
654####591####Clinic_654####Type_4####182 Pine St, City C####@@@@
655####61####Clinic_655####Type_0####147 Cedar St, City Q####@@@@
656####567####Clinic_656####Type_1####608 Maple St, City N####@@@@
657####484####Clinic_657####Type_2####782 Birch St, City W####@@@@
658####584####Clinic_658####Type_3####300 Oak St, City O####@@@@
659####536####Clinic_659####Type_4####330 Cedar St, City T####@@@@
660####314####Clinic_660####Type_0####595 Elm St, City G####@@@@
661####283####Clinic_661####Type_1####477 Oak St, City F####@@@@
662####990####Clinic_662####Type_2####162 Birch St, City J####@@@@
663####353####Clinic_663####Type_3####873 Oak St, City E####@@@@
664####699####Clinic_664####Type_4####761 Birch St, City P####@@@@
665####374####Clinic_665####Type_0####290 Cedar St, City C####@@@@
666####588####Clinic_666####Type_1####32 Cedar St, City Y####@@@@
667####927####Clinic_667####Type_2####710 Pine St, City K####@@@@
668####719####Clinic_668####Type_3####453 Maple St, City I####@@@@
669####159####Clinic_669####Type_4####957 Oak St, City A####@@@@
670####272####Clinic_670####Type_0####788 Pine St, City A####@@@@
671####894####Clinic_671####Type_1####23 Cedar St, City D####@@@@
672####535####Clinic_672####Type_2####206 Birch St, City G####@@@@
673####324####Clinic_673####Type_3####241 Maple St, City N####@@@@
674####18####Clinic_674####Type_4####885 Pine St, City I####@@@@
675####914####Clinic_675####Type_0####802 Elm St, City N####@@@@
676####244####Clinic_676####Type_1####112 Maple St, City A####@@@@
677####601####Clinic_677####Type_2####47 Pine St, City D####@@@@
678####181####Clinic_678####Type_3####413 Maple St, City Z####@@@@
679####953####Clinic_679####Type_4####595 Pine St, City L####@@@@
680####408####Clinic_680####Type_0####880 Birch St, City P####@@@@
681####930####Clinic_681####Type_1####835 Cedar St, City B####@@@@
682####905####Clinic_682####Type_2####418 Birch St, City N####@@@@
683####543####Clinic_683####Type_3####195 Pine St, City R####@@@@
684####690####Clinic_684####Type_4####108 Pine St, City H####@@@@
685####142####Clinic_685####Type_0####780 Pine St, City T####@@@@
686####185####Clinic_686####Type_1####529 Pine St, City R####@@@@
687####564####Clinic_687####Type_2####467 Maple St, City O####@@@@
688####131####Clinic_688####Type_3####332 Elm St, City I####@@@@
689####444####Clinic_689####Type_4####608 Oak St, City Q####@@@@
690####670####Clinic_690####Type_0####368 Elm St, City I####@@@@
691####325####Clinic_691####Type_1####96 Oak St, City K####@@@@
692####705####Clinic_692####Type_2####336 Birch St, City R####@@@@
693####871####Clinic_693####Type_3####666 Elm St, City T####@@@@
694####718####Clinic_694####Type_4####137 Birch St, City G####@@@@
695####808####Clinic_695####Type_0####464 Cedar St, City O####@@@@
696####374####Clinic_696####Type_1####250 Oak St, City E####@@@@
697####15####Clinic_697####Type_2####324 Maple St, City A####@@@@
698####911####Clinic_698####Type_3####567 Birch St, City X####@@@@
699####262####Clinic_699####Type_4####302 Oak St, City Q####@@@@
700####619####Clinic_700####Type_0####720 Maple St, City N####@@@@
701####404####Clinic_701####Type_1####641 Cedar St, City Z####@@@@
702####443####Clinic_702####Type_2####487 Cedar St, City M####@@@@
703####436####Clinic_703####Type_3####94 Pine St, City M####@@@@
704####704####Clinic_704####Type_4####164 Cedar St, City L####@@@@
705####808####Clinic_705####Type_0####864 Elm St, City K####@@@@
706####305####Clinic_706####Type_1####164 Elm St, City Z####@@@@
707####550####Clinic_707####Type_2####639 Birch St, City L####@@@@
708####661####Clinic_708####Type_3####596 Maple St, City N####@@@@
709####314####Clinic_709####Type_4####46 Cedar St, City F####@@@@
710####990####Clinic_710####Type_0####471 Oak St, City B####@@@@
711####465####Clinic_711####Type_1####275 Cedar St, City X####@@@@
712####441####Clinic_712####Type_2####233 Pine St, City E####@@@@
713####567####Clinic_713####Type_3####29 Birch St, City Y####@@@@
714####544####Clinic_714####Type_4####576 Pine St, City T####@@@@
715####332####Clinic_715####Type_0####244 Birch St, City K####@@@@
716####784####Clinic_716####Type_1####316 Birch St, City W####@@@@
717####773####Clinic_717####Type_2####622 Birch St, City U####@@@@
718####851####Clinic_718####Type_3####714 Pine St, City D####@@@@
719####957####Clinic_719####Type_4####380 Birch St, City M####@@@@
720####246####Clinic_720####Type_0####271 Birch St, City E####@@@@
721####845####Clinic_721####Type_1####180 Pine St, City Y####@@@@
722####838####Clinic_722####Type_2####861 Maple St, City I####@@@@
723####603####Clinic_723####Type_3####114 Cedar St, City K####@@@@
724####561####Clinic_724####Type_4####590 Oak St, City D####@@@@
725####508####Clinic_725####Type_0####17 Birch St, City B####@@@@
726####428####Clinic_726####Type_1####321 Birch St, City N####@@@@
727####717####Clinic_727####Type_2####183 Elm St, City D####@@@@
728####796####Clinic_728####Type_3####441 Pine St, City O####@@@@
729####97####Clinic_729####Type_4####102 Birch St, City E####@@@@
730####590####Clinic_730####Type_0####307 Birch St, City V####@@@@
731####984####Clinic_731####Type_1####974 Pine St, City H####@@@@
732####105####Clinic_732####Type_2####308 Pine St, City A####@@@@
733####576####Clinic_733####Type_3####620 Elm St, City V####@@@@
734####776####Clinic_734####Type_4####486 Cedar St, City J####@@@@
735####362####Clinic_735####Type_0####137 Elm St, City E####@@@@
736####898####Clinic_736####Type_1####656 Maple St, City E####@@@@
737####49####Clinic_737####Type_2####945 Birch St, City V####@@@@
738####945####Clinic_738####Type_3####360 Elm St, City S####@@@@
739####805####Clinic_739####Type_4####985 Maple St, City U####@@@@
740####607####Clinic_740####Type_0####505 Maple St, City K####@@@@
741####782####Clinic_741####Type_1####373 Cedar St, City F####@@@@
742####947####Clinic_742####Type_2####960 Cedar St, City G####@@@@
743####39####Clinic_743####Type_3####205 Pine St, City N####@@@@
744####661####Clinic_744####Type_4####187 Oak St, City N####@@@@
745####323####Clinic_745####Type_0####225 Birch St, City Q####@@@@
746####383####Clinic_746####Type_1####680 Elm St, City F####@@@@
747####724####Clinic_747####Type_2####164 Oak St, City V####@@@@
748####816####Clinic_748####Type_3####580 Oak St, City J####@@@@
749####674####Clinic_749####Type_4####450 Oak St, City H####@@@@
750####873####Clinic_750####Type_0####245 Elm St, City H####@@@@
751####144####Clinic_751####Type_1####451 Oak St, City T####@@@@
752####772####Clinic_752####Type_2####853 Maple St, City H####@@@@
753####127####Clinic_753####Type_3####122 Oak St, City R####@@@@
754####910####Clinic_754####Type_4####301 Elm St, City S####@@@@
755####56####Clinic_755####Type_0####156 Pine St, City U####@@@@
756####176####Clinic_756####Type_1####327 Cedar St, City L####@@@@
757####369####Clinic_757####Type_2####388 Cedar St, City D####@@@@
758####459####Clinic_758####Type_3####19 Cedar St, City S####@@@@
759####316####Clinic_759####Type_4####978 Elm St, City M####@@@@
760####889####Clinic_760####Type_0####107 Oak St, City V####@@@@
761####168####Clinic_761####Type_1####792 Cedar St, City W####@@@@
762####469####Clinic_762####Type_2####36 Oak St, City L####@@@@
763####240####Clinic_763####Type_3####940 Birch St, City B####@@@@
764####166####Clinic_764####Type_4####668 Pine St, City U####@@@@
765####189####Clinic_765####Type_0####983 Birch St, City L####@@@@
766####446####Clinic_766####Type_1####24 Cedar St, City P####@@@@
767####370####Clinic_767####Type_2####746 Oak St, City S####@@@@
768####230####Clinic_768####Type_3####687 Oak St, City U####@@@@
769####306####Clinic_769####Type_4####665 Oak St, City G####@@@@
770####582####Clinic_770####Type_0####695 Elm St, City P####@@@@
771####212####Clinic_771####Type_1####879 Pine St, City P####@@@@
772####797####Clinic_772####Type_2####382 Cedar St, City X####@@@@
773####868####Clinic_773####Type_3####447 Maple St, City O####@@@@
774####137####Clinic_774####Type_4####146 Elm St, City K####@@@@
775####563####Clinic_775####Type_0####115 Cedar St, City I####@@@@
776####937####Clinic_776####Type_1####871 Birch St, City Z####@@@@
777####405####Clinic_777####Type_2####728 Oak St, City Y####@@@@
778####3####Clinic_778####Type_3####311 Birch St, City K####@@@@
779####124####Clinic_779####Type_4####88 Birch St, City O####@@@@
780####175####Clinic_780####Type_0####824 Elm St, City L####@@@@
781####811####Clinic_781####Type_1####868 Birch St, City Z####@@@@
782####616####Clinic_782####Type_2####560 Elm St, City O####@@@@
783####775####Clinic_783####Type_3####473 Pine St, City H####@@@@
784####391####Clinic_784####Type_4####276 Elm St, City L####@@@@
785####636####Clinic_785####Type_0####512 Birch St, City X####@@@@
786####34####Clinic_786####Type_1####964 Birch St, City K####@@@@
787####502####Clinic_787####Type_2####818 Birch St, City S####@@@@
788####857####Clinic_788####Type_3####209 Elm St, City A####@@@@
789####115####Clinic_789####Type_4####437 Oak St, City B####@@@@
790####973####Clinic_790####Type_0####130 Cedar St, City J####@@@@
791####588####Clinic_791####Type_1####934 Birch St, City C####@@@@
792####644####Clinic_792####Type_2####810 Birch St, City N####@@@@
793####272####Clinic_793####Type_3####42 Cedar St, City U####@@@@
794####558####Clinic_794####Type_4####593 Birch St, City G####@@@@
795####944####Clinic_795####Type_0####251 Cedar St, City F####@@@@
796####760####Clinic_796####Type_1####773 Oak St, City M####@@@@
797####238####Clinic_797####Type_2####181 Birch St, City R####@@@@
798####554####Clinic_798####Type_3####226 Cedar St, City L####@@@@
799####162####Clinic_799####Type_4####354 Pine St, City K####@@@@
800####618####Clinic_800####Type_0####198 Cedar St, City B####@@@@
801####503####Clinic_801####Type_1####506 Birch St, City T####@@@@
802####457####Clinic_802####Type_2####764 Birch St, City I####@@@@
803####141####Clinic_803####Type_3####734 Maple St, City X####@@@@
804####784####Clinic_804####Type_4####429 Cedar St, City B####@@@@
805####909####Clinic_805####Type_0####652 Birch St, City F####@@@@
806####280####Clinic_806####Type_1####902 Elm St, City M####@@@@
807####672####Clinic_807####Type_2####134 Maple St, City R####@@@@
808####944####Clinic_808####Type_3####436 Pine St, City P####@@@@
809####424####Clinic_809####Type_4####292 Cedar St, City C####@@@@
810####307####Clinic_810####Type_0####454 Maple St, City D####@@@@
811####982####Clinic_811####Type_1####74 Maple St, City H####@@@@
812####669####Clinic_812####Type_2####930 Pine St, City O####@@@@
813####189####Clinic_813####Type_3####275 Oak St, City S####@@@@
814####239####Clinic_814####Type_4####250 Birch St, City E####@@@@
815####916####Clinic_815####Type_0####583 Oak St, City H####@@@@
816####486####Clinic_816####Type_1####375 Elm St, City L####@@@@
817####240####Clinic_817####Type_2####907 Elm St, City C####@@@@
818####803####Clinic_818####Type_3####766 Cedar St, City A####@@@@
819####209####Clinic_819####Type_4####958 Oak St, City A####@@@@
820####13####Clinic_820####Type_0####960 Birch St, City K####@@@@
821####368####Clinic_821####Type_1####716 Elm St, City L####@@@@
822####464####Clinic_822####Type_2####591 Oak St, City D####@@@@
823####107####Clinic_823####Type_3####256 Elm St, City K####@@@@
824####169####Clinic_824####Type_4####125 Birch St, City M####@@@@
825####224####Clinic_825####Type_0####118 Maple St, City I####@@@@
826####756####Clinic_826####Type_1####892 Birch St, City T####@@@@
827####588####Clinic_827####Type_2####97 Maple St, City Z####@@@@
828####610####Clinic_828####Type_3####224 Birch St, City V####@@@@
829####427####Clinic_829####Type_4####172 Maple St, City O####@@@@
830####273####Clinic_830####Type_0####551 Maple St, City Z####@@@@
831####443####Clinic_831####Type_1####611 Elm St, City I####@@@@
832####167####Clinic_832####Type_2####35 Elm St, City E####@@@@
833####928####Clinic_833####Type_3####236 Maple St, City Z####@@@@
834####992####Clinic_834####Type_4####572 Oak St, City K####@@@@
835####365####Clinic_835####Type_0####195 Oak St, City N####@@@@
836####101####Clinic_836####Type_1####361 Pine St, City W####@@@@
837####17####Clinic_837####Type_2####136 Cedar St, City H####@@@@
838####938####Clinic_838####Type_3####248 Birch St, City I####@@@@
839####369####Clinic_839####Type_4####794 Elm St, City Q####@@@@
840####940####Clinic_840####Type_0####627 Cedar St, City L####@@@@
841####508####Clinic_841####Type_1####148 Maple St, City G####@@@@
842####339####Clinic_842####Type_2####929 Maple St, City T####@@@@
843####791####Clinic_843####Type_3####140 Pine St, City Z####@@@@
844####618####Clinic_844####Type_4####693 Cedar St, City I####@@@@
845####15####Clinic_845####Type_0####182 Cedar St, City Q####@@@@
846####422####Clinic_846####Type_1####862 Pine St, City F####@@@@
847####788####Clinic_847####Type_2####399 Cedar St, City G####@@@@
848####940####Clinic_848####Type_3####867 Maple St, City Q####@@@@
849####46####Clinic_849####Type_4####793 Birch St, City Q####@@@@
850####207####Clinic_850####Type_0####713 Maple St, City H####@@@@
851####406####Clinic_851####Type_1####5 Pine St, City D####@@@@
852####758####Clinic_852####Type_2####37 Elm St, City S####@@@@
853####545####Clinic_853####Type_3####914 Elm St, City W####@@@@
854####688####Clinic_854####Type_4####325 Pine St, City T####@@@@
855####610####Clinic_855####Type_0####954 Pine St, City E####@@@@
856####357####Clinic_856####Type_1####229 Oak St, City G####@@@@
857####722####Clinic_857####Type_2####595 Cedar St, City U####@@@@
858####168####Clinic_858####Type_3####404 Oak St, City M####@@@@
859####675####Clinic_859####Type_4####347 Elm St, City R####@@@@
860####713####Clinic_860####Type_0####827 Elm St, City J####@@@@
861####606####Clinic_861####Type_1####36 Cedar St, City Y####@@@@
862####157####Clinic_862####Type_2####516 Birch St, City I####@@@@
863####314####Clinic_863####Type_3####497 Elm St, City J####@@@@
864####956####Clinic_864####Type_4####160 Elm St, City O####@@@@
865####231####Clinic_865####Type_0####850 Cedar St, City D####@@@@
866####259####Clinic_866####Type_1####23 Birch St, City K####@@@@
867####514####Clinic_867####Type_2####961 Oak St, City R####@@@@
868####912####Clinic_868####Type_3####808 Birch St, City Q####@@@@
869####193####Clinic_869####Type_4####940 Maple St, City K####@@@@
870####813####Clinic_870####Type_0####653 Elm St, City J####@@@@
871####92####Clinic_871####Type_1####729 Oak St, City I####@@@@
872####917####Clinic_872####Type_2####580 Elm St, City U####@@@@
873####492####Clinic_873####Type_3####152 Elm St, City A####@@@@
874####263####Clinic_874####Type_4####178 Maple St, City A####@@@@
875####9####Clinic_875####Type_0####317 Birch St, City E####@@@@
876####425####Clinic_876####Type_1####700 Oak St, City T####@@@@
877####797####Clinic_877####Type_2####436 Elm St, City H####@@@@
878####259####Clinic_878####Type_3####330 Maple St, City Q####@@@@
879####288####Clinic_879####Type_4####210 Oak St, City K####@@@@
880####439####Clinic_880####Type_0####301 Elm St, City K####@@@@
881####771####Clinic_881####Type_1####182 Pine St, City G####@@@@
882####465####Clinic_882####Type_2####518 Elm St, City M####@@@@
883####164####Clinic_883####Type_3####702 Birch St, City A####@@@@
884####701####Clinic_884####Type_4####969 Elm St, City I####@@@@
885####152####Clinic_885####Type_0####862 Oak St, City E####@@@@
886####553####Clinic_886####Type_1####572 Birch St, City C####@@@@
887####525####Clinic_887####Type_2####29 Birch St, City O####@@@@
888####255####Clinic_888####Type_3####436 Oak St, City O####@@@@
